"Date","Life_stage","StationID","Station_Region","Latitude","Longitude","Number_fish"
2011-11-16,"adult",17,"east",-38.12388,144.94052,1
2011-11-16,"adult",54,"west",-38.1095,144.41355,1
2011-11-18,"adult",11,"east",-38.00213,145.0611,1
2011-11-18,"adult",12,"east",-38.03608,145.07697,5
2011-11-18,"adult",13,"east",-38.05117,145.0788,1
2011-11-18,"adult",20,"east",-38.09975,145.0564,1
2011-11-18,"adult",21,"east",-38.08735,145.09918,2
2011-11-19,"adult",10,"east",-38.00345,145.0335,1
2011-11-19,"adult",11,"east",-38.00213,145.0611,1
2011-11-19,"adult",12,"east",-38.03608,145.07697,6
2011-11-19,"adult",13,"east",-38.05117,145.0788,1
2011-11-19,"adult",16,"east",-38.05342,144.94145,1
2011-11-19,"adult",18,"east",-38.10002,145.01185,2
2011-11-20,"adult",12,"east",-38.03608,145.07697,5
2011-11-20,"adult",15,"east",-38.04128,144.98372,3
2011-11-20,"adult",18,"east",-38.10002,145.01185,1
2011-11-21,"adult",10,"east",-38.00345,145.0335,2
2011-11-21,"adult",11,"east",-38.00213,145.0611,5
2011-11-21,"adult",12,"east",-38.03608,145.07697,2
2011-11-21,"adult",14,"east",-38.04698,145.05367,1
2011-11-21,"adult",21,"east",-38.08735,145.09918,1
2011-11-21,"adult",27,"east",-38.16823,144.9593,1
2011-11-22,"adult",10,"east",-38.00345,145.0335,1
2011-11-22,"adult",11,"east",-38.00213,145.0611,4
2011-11-22,"adult",12,"east",-38.03608,145.07697,2
2011-11-22,"adult",13,"east",-38.05117,145.0788,2
2011-11-22,"adult",18,"east",-38.10002,145.01185,1
2011-11-22,"adult",20,"east",-38.09975,145.0564,1
2011-11-22,"adult",22,"east",-38.14407,145.10023,1
2011-11-22,"adult",23,"east",-38.14135,145.09135,4
2011-11-23,"adult",11,"east",-38.00213,145.0611,7
2011-11-23,"adult",12,"east",-38.03608,145.07697,1
2011-11-23,"adult",17,"east",-38.12388,144.94052,1
2011-11-23,"adult",19,"east",-38.07715,145.03903,1
2011-11-23,"adult",22,"east",-38.14407,145.10023,1
2011-11-23,"adult",25,"east",-38.14808,145.03395,2
2011-11-23,"adult",26,"east",-38.17358,145.03483,1
2011-11-23,"adult",27,"east",-38.16823,144.9593,1
