Date,Time,Life_stage,FishID,Habitat_released_onto,Release_location,StationID,Station_Region,Station_Name,Latitude,Longitude
16/11/2011,5:52:14 AM,adult,2,other,other,54,west,receiver_03_Ross_Winstanely,-38.1095,144.41355
16/11/2011,7:26:21 PM,adult,5,other,other,17,east,Mornington_wide,-38.12388,144.94052
18/11/2011,7:57:51 AM,adult,6,other,other,21,east,Tedesco_artificial_reef,-38.08735,145.09918
18/11/2011,10:51:07 AM,adult,10,other,other,13,east,Tyre_reef,-38.05117,145.0788
18/11/2011,12:15:52 PM,adult,8,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
18/11/2011,3:44:54 PM,adult,8,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
18/11/2011,6:06:21 PM,adult,9,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
18/11/2011,6:08:15 PM,adult,8,other,other,21,east,Tedesco_artificial_reef,-38.08735,145.09918
18/11/2011,8:08:40 PM,adult,11,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
18/11/2011,8:13:23 PM,adult,8,other,other,20,east,Seaford_16m,-38.09975,145.0564
18/11/2011,8:51:57 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
18/11/2011,10:54:14 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
19/11/2011,1:05:20 AM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
19/11/2011,1:56:13 AM,adult,11,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
19/11/2011,4:39:57 AM,adult,7,other,other,13,east,Tyre_reef,-38.05117,145.0788
19/11/2011,9:49:22 AM,adult,10,other,other,18,east,Aircraft/Aeroplane,-38.10002,145.01185
19/11/2011,12:49:01 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
19/11/2011,12:56:03 PM,adult,10,other,other,18,east,Aircraft/Aeroplane,-38.10002,145.01185
19/11/2011,3:27:18 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
19/11/2011,6:35:08 PM,adult,7,other,other,11,east,Mordialloc_natural_reef,-38.00213,145.0611
19/11/2011,9:03:40 PM,adult,6,other,other,12,east,Rec_artificial_reef,-38.03608,145.07697
19/11/2011,9:09:41 PM,adult,7,other,other,10,east,Ricketts_natural_reef,-38.00345,145.0335
19/11/2011,10:52:44 PM,adult,5,other,other,16,east,Carrum_wide,-38.05342,144.94145
